timestamp,claim_id,claimant,policy,match_start,match_end,match_duration,video_id/url,body_text,raw_headers,sender_email
2025-08-20T12:00:17Z,C-100000,LabelAgent Co,monetize,282,294,12,vid_8970,Notice: Content identified via automated reference match. Monetization redirected.,X-Mailer: ClaimBot/1.4; Message-ID: <90qj9w9dbug5@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:01:21Z,C-100001,UMG Rights Ops,track,537,540,3,vid_3968,Automated claim: match detected in your upload. Policy applied per rights holder.,X-Mailer: ClaimBot/1.4; Message-ID: <y5jeb40ojwbt@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:02:12Z,C-100002,UMG Rights Ops,monetize,576,616,40,vid_1918,This is to inform you that content in your video matched our reference. Monetization status updated.,X-Mailer: ClaimBot/1.4; Message-ID: <pv7f3k8h88si@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:03:25Z,C-100003,LabelAgent Co,monetize,249,309,60,vid_5353,Automated policy action based on content match. Please review claimed segments.,X-Mailer: ClaimBot/1.4; Message-ID: <rqz1zq5sw5gv@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:04:03Z,C-100004,LabelAgent Co,monetize,445,453,8,vid_5974,Automated notification: content match detected. You may dispute if you believe this is fair use.,X-Mailer: ClaimBot/1.4; Message-ID: <w2e85krbpaoo@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:05:21Z,C-100005,UMG Rights Ops,monetize,3,28,25,vid_2206,Notice: Content identified via automated reference match. Monetization redirected.,X-Mailer: ClaimBot/1.4; Message-ID: <wsmfdu8tvelq@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:06:39Z,C-100006,UMG Rights Ops,monetize,297,357,60,vid_7652,Automated claim: match detected in your upload. Policy applied per rights holder.,X-Mailer: ClaimBot/1.4; Message-ID: <bs25mnufcrrv@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:07:08Z,C-100007,UMG Rights Ops,track,176,194,18,vid_9550,This is to inform you that content in your video matched our reference. Monetization status updated.,X-Mailer: ClaimBot/1.4; Message-ID: <nqivr437evvt@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:08:40Z,C-100008,LabelAgent Co,track,52,60,8,vid_8651,Automated policy action based on content match. Please review claimed segments.,X-Mailer: ClaimBot/1.4; Message-ID: <gl4gjn93iufk@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:09:08Z,C-100009,UMG Rights Ops,track,148,153,5,vid_2329,Automated notification: content match detected. You may dispute if you believe this is fair use.,X-Mailer: ClaimBot/1.4; Message-ID: <71tlgdp7yjcb@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:10:12Z,C-100010,UMG Automations LLC,monetize,170,178,8,vid_7885,Notice: Content identified via automated reference match. Monetization redirected.,X-Mailer: ClaimBot/1.4; Message-ID: <g2h9gpeonjxx@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:11:08Z,C-100011,UMG Rights Ops,track,64,76,12,vid_2443,Automated claim: match detected in your upload. Policy applied per rights holder.,X-Mailer: ClaimBot/1.4; Message-ID: <voldn2w7jx3c@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:12:33Z,C-100012,UMG Rights Ops,block,363,423,60,vid_6068,This is to inform you that content in your video matched our reference. Monetization status updated.,X-Mailer: ClaimBot/1.4; Message-ID: <vltdzyqbryoj@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:13:18Z,C-100013,LabelAgent Co,monetize,573,613,40,vid_6845,Automated policy action based on content match. Please review claimed segments.,X-Mailer: ClaimBot/1.4; Message-ID: <z43uduo2udwt@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:14:03Z,C-100014,UMG Automations LLC,monetize,514,519,5,vid_1884,Automated notification: content match detected. You may dispute if you believe this is fair use.,X-Mailer: ClaimBot/1.4; Message-ID: <asfqsbueam9q@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:15:22Z,C-100015,LabelAgent Co,monetize,146,151,5,vid_8775,Notice: Content identified via automated reference match. Monetization redirected.,X-Mailer: ClaimBot/1.4; Message-ID: <ekzznvx3u2su@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:16:15Z,C-100016,UMG Automations LLC,track,318,330,12,vid_7483,Automated claim: match detected in your upload. Policy applied per rights holder.,X-Mailer: ClaimBot/1.4; Message-ID: <khillnsgss3k@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:17:40Z,C-100017,LabelAgent Co,monetize,29,54,25,vid_2411,This is to inform you that content in your video matched our reference. Monetization status updated.,X-Mailer: ClaimBot/1.4; Message-ID: <rdy0eiupa9ws@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:18:22Z,C-100018,LabelAgent Co,monetize,113,116,3,vid_1804,Automated policy action based on content match. Please review claimed segments.,X-Mailer: ClaimBot/1.4; Message-ID: <zfht000mkjof@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:19:35Z,C-100019,UMG Rights Ops,block,240,248,8,vid_1151,Automated notification: content match detected. You may dispute if you believe this is fair use.,X-Mailer: ClaimBot/1.4; Message-ID: <u396ala33uzv@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:20:24Z,C-100020,UMG Rights Ops,monetize,506,546,40,vid_2573,Notice: Content identified via automated reference match. Monetization redirected.,X-Mailer: ClaimBot/1.4; Message-ID: <8ak660mimcy8@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:21:27Z,C-100021,LabelAgent Co,monetize,181,241,60,vid_5408,Automated claim: match detected in your upload. Policy applied per rights holder.,X-Mailer: ClaimBot/1.4; Message-ID: <mmwr9fxrdvpt@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:22:22Z,C-100022,LabelAgent Co,monetize,151,191,40,vid_5441,This is to inform you that content in your video matched our reference. Monetization status updated.,X-Mailer: ClaimBot/1.4; Message-ID: <pxb6ws71sf2t@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:23:04Z,C-100023,LabelAgent Co,monetize,429,454,25,vid_2578,Automated policy action based on content match. Please review claimed segments.,X-Mailer: ClaimBot/1.4; Message-ID: <a7yusq2u7d4r@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:24:39Z,C-100024,UMG Rights Ops,track,129,154,25,vid_7138,Automated notification: content match detected. You may dispute if you believe this is fair use.,X-Mailer: ClaimBot/1.4; Message-ID: <lf4b3qtz93tq@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:25:24Z,C-100025,LabelAgent Co,track,14,39,25,vid_3914,Notice: Content identified via automated reference match. Monetization redirected.,X-Mailer: ClaimBot/1.4; Message-ID: <hi1u2mco6i1n@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:26:01Z,C-100026,UMG Rights Ops,monetize,582,587,5,vid_9008,Automated claim: match detected in your upload. Policy applied per rights holder.,X-Mailer: ClaimBot/1.4; Message-ID: <g2fkbv1a1g40@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:27:10Z,C-100027,UMG Rights Ops,monetize,322,362,40,vid_7238,This is to inform you that content in your video matched our reference. Monetization status updated.,X-Mailer: ClaimBot/1.4; Message-ID: <3pol1divyirn@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:28:02Z,C-100028,UMG Rights Ops,monetize,401,406,5,vid_2274,Automated policy action based on content match. Please review claimed segments.,X-Mailer: ClaimBot/1.4; Message-ID: <cwg4df352q8j@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:29:26Z,C-100029,UMG Automations LLC,track,162,170,8,vid_1284,Automated notification: content match detected. You may dispute if you believe this is fair use.,X-Mailer: ClaimBot/1.4; Message-ID: <ckapwuty0lk8@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:35:29Z,C-100030,UMG Rights Ops,track,433,436,3,vid_6907,Notice: Content identified via automated reference match. Monetization redirected.,X-Mailer: ClaimBot/1.4; Message-ID: <w08h18q5uksc@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:36:10Z,C-100031,UMG Rights Ops,monetize,288,313,25,vid_3465,Automated claim: match detected in your upload. Policy applied per rights holder.,X-Mailer: ClaimBot/1.4; Message-ID: <7b3vhl3v4n1r@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:37:19Z,C-100032,UMG Automations LLC,monetize,426,444,18,vid_3789,This is to inform you that content in your video matched our reference. Monetization status updated.,X-Mailer: ClaimBot/1.4; Message-ID: <lrc16kcnu46g@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:38:02Z,C-100033,UMG Automations LLC,monetize,254,259,5,vid_4507,Automated policy action based on content match. Please review claimed segments.,X-Mailer: ClaimBot/1.4; Message-ID: <6l7zzh96vxww@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:39:30Z,C-100034,LabelAgent Co,monetize,453,471,18,vid_7691,Automated notification: content match detected. You may dispute if you believe this is fair use.,X-Mailer: ClaimBot/1.4; Message-ID: <qpfd3k90i0yt@claims.umg>,no-reply@claims.umg.example
2025-08-20T12:40:02Z,C-100035,UMG Automations LLC,block,242,302,60,vid_9155,Notice: Content identified via automated reference match. Monetization redirected.,X-Mailer: ClaimBot/1.4; Message-ID: <6so7desi77fl@claims.umg>,no-reply@claims.umg.example
